Rank,Name,Symbol,Market Cap,Price
134,Utrust,UTK,99483909,0.2211
135,TomoChain,TOMO,99363119,1.30
136,Serum,SRM,98552656,1.97
137,Oasis Network,ROSE,99856547,0.06657
138,CyberVein,CVT,98417642,0.09281
139,Bytom,BTM,93313631,0.06647
140,KuCoin Token,KCS,92327852,1.15
141,IoTeX,IOTX,90954002,0.009431
142,Storj,STORJ,90610667,0.4126
143,aelf,ELF,87203547,0.1602
144,Travala.com,AVA,88275807,1.90
145,WaykiChain,WICC,84904007,0.4492
146,Swipe,SXP,82865630,0.9872
147,Ardor,ARDR,83034598,0.08312
148,Secret,SCRT,80505723,1.15
149,Velas,VLX,79487534,0.03774
150,Komodo,KMD,76595683,0.6187
151,Kleros,PNK,75875842,0.1266
152,Venus,XVS,73965787,9.18
153,DxChain Token,DX,73013979,0.001460
154,SingularityNET,AGI,73317396,0.08497
155,Steem,STEEM,72709393,0.1854
156,Syntropy,NOIA,72502461,0.2312
157,BitShares,BTS,72459675,0.02419
158,Ankr,ANKR,73585828,0.01133
159,district0x,DNT,69482813,0.1158
160,DFI.Money,YFII,69937640,1812.04
161,OriginTrail,TRAC,68627626,0.2019
162,Wanchain,WAN,67557699,0.3997
163,Morpheus.Network,MRPH,67986276,1.44
164,xDai,STAKE,66625762,16.81
165,JUST,JST,66346658,0.02935
166,Fetch.ai,FET,66466747,0.08908
167,Harmony,ONE,65159279,0.007443
168,Keep3rV1,KP3R,65117266,325.58
169,WAX,WAXP,65322421,0.04352
170,Kin,KIN,65121563,0.00004290
171,LTO Network,LTO,63955528,0.2343
172,Hive,HIVE,61002044,0.1472
173,Loom Network,LOOM,62794243,0.06470
174,LBRY Credits,LBC,61328174,0.1177
175,IRISnet,IRIS,59947852,0.06358
176,Energi,NRG,60094598,1.62
177,DIA,DIA,59500146,2.10
178,Enzyme Finance,MLN,57918478,39.21
179,Electroneum,ETN,56256280,0.005500
180,Syscoin,SYS,55511231,0.09176
181,Ark,ARK,54980146,0.4340
182,Polymath,POLY,53974551,0.09713
183,Stratis,STRAX,53324663,0.5328
184,MCO,MCO,52166518,3.30
185,Divi,DIVI,49836861,0.02357
186,AdEx Network,ADX,50169168,0.4422
187,Firo,FIRO,49639888,4.33
188,Tellor,TRB,47228963,28.43
189,Populous,PPT,47559894,0.8931
190,Power Ledger,POWR,47321954,0.1116
191,bZx Protocol,BZRX,46428704,0.3202
192,TrustSwap,SWAP,45050562,0.6256
193,Uquid Coin,UQC,44131468,4.41
194,Streamr,DATA,43902695,0.06155
195,Handshake,HNS,43275469,0.1234
196,VeThor Token,VTHO,42115437,0.001329
197,Elastos,ELA,42754691,2.48
198,QuarkChain,QKC,41616102,0.006503
199,Ultra,UOS,42353342,0.1499
200,Akropolis,AKRO,40468987,0.01668
201,Counos X,CCXX,1629065999,91.46
202,HEX,HEX,1457049646,0.008402
203,INO COIN,INO,1036388669,5.76
204,DeFiChain,DFI,984226629,2.48
205,IZE,IZE,835065858,0.2007
206,Basid Coin,BASID,613633313,1.08
207,ThoreCoin,THR,546218236,6301.11
208,Insight Chain,INB,542833297,1.55
209,Creditcoin,CTC,473845605,0.8333
210,botXcoin,BOTX,373677992,0.2290
211,Zelwin,ZLW,302438330,4.28
212,Bitcoin Cash ABC,BCHA,268890810,14.48
213,Cipher Core Token,CIPHC,250039314,33.90
214,Metacoin,MTC,197265362,0.1841
215,Largo Coin,LRG,174161789,9.84
216,Sologenic,SOLO,164582103,0.8229
217,WhiteCoin,XWC,157029510,0.6277
218,Doctors Coin,DRS,154174818,0.6711
219,Huobi BTC,HBTC,152620739,31728.78
220,Empty Set Dollar,ESD,151012582,0.3406
221,YUSRA,YUSRA,148059126,3.71
222,Bitpanda Ecosystem Token,BEST,147934253,0.3645
223,Vitae,VITAE,148081242,7.61
224,Perpetual Protocol,PERP,144704232,7.08
225,sUSD,SUSD,144488135,1.01
226,Keep Network,KEEP,140746580,0.3061
227,PARSIQ,PRQ,136875105,1.31
228,Hegic,HEGIC,137261924,0.4071
229,Elitium,EUM,136480023,4.54
230,Bridge Oracle,BRG,131998633,0.01650
231,Frax,FRAX,131494144,1.01
232,Chimpion,BNANA,113640669,3.58
233,PancakeSwap,CAKE,122872060,1.22
234,Mobilian Coin,MBN,120641846,0.8526
235,Darma Cash,DMCH,117622650,0.5554
236,Massnet,MASS,114729943,1.30
237,Neutrino USD,USDN,115544974,0.9918
238,Bloomzed Loyalty Club Ticket,BLCT,113359028,2.98
239,NewYork Exchange,NYE,108460086,15.30
240,TNC Coin,TNC,107353325,0.04646
241,MimbleWimbleCoin,MWC,103517232,9.68
242,Strong,STRONG,99770676,30.46
243,GNY,GNY,96906833,0.5037
244,GreenPower,GRN,96920154,0.02999
245,Edgeware,EDG,93510675,0.01730
246,NEST Protocol,NEST,89935212,0.05143
247,Wrapped BNB,WBNB,90627800,41.68
248,Livepeer,LPT,88675694,4.19
249,Idea Chain Coin,ICH,86711515,1.69
250,NuCypher,NU,86919893,0.2213
251,XeniosCoin,XNC,85164470,1.12
252,XinFin Network,XDC,86098780,0.007058
253,Mixin,XIN,83070797,156.58
254,Rakon,RKN,82204884,0.3385
255,Eauric,EAURIC,81108039,2.98
256,API3,API3,81220525,5.87
257,Hellenic Coin,HNC,78743257,1.13
258,SKALE Network,SKL,75752268,0.1343
259,Beldex,BDX,74918647,0.07643
260,Qcash,QC,71473178,0.1554
261,Polkastarter,POLS,67670774,1.33
262,The Transfer Token,TTT,66699760,1.50
263,MATH,MATH,66765690,0.5838
264,Sora,XOR,65691418,187.69
265,MINDOL,MIN,67728462,0.3955
266,Reef,REEF,64629115,0.02135
267,Amp,AMP,63228654,0.006512
268,Mirror Protocol,MIR,63896703,2.50
269,The Sandbox,SAND,62234867,0.09479
270,AXEL,AXEL,60558271,0.2291
271,Harvest Finance,FARM,59912785,134.14
272,Akash Network,AKT,59423681,1.81
273,Homeros,HMR,58868462,0.1424
274,CoinMetro Token,XCM,57541232,0.1897
275,Attila,ATT,57026957,0.1266
276,Rewardiqa,REW,55661776,5.57
277,TerraKRW,KRT,54699257,0.0009100
278,RAMP,RAMP,54813955,0.3252
279,Bithao,BHAO,54426339,1.24
280,Meta,MTA,50697994,3.32
281,Waves Enterprise,WEST,51525321,0.2514
282,Sport and Leisure,SNL,51017983,0.07517
283,Folgory Coin,FLG,50933749,2.91
284,Poseidon Network,QQQ,50838140,0.02308
285,EFFORCE,WOZX,50564477,1.43
286,saffron.finance,SFI,49952187,678.87
287,Cashaa,CAS,49473462,0.07178
288,Orion Protocol,ORN,49086720,2.91
289,ChainX,PCX,48489955,6.28
290,Bitball Treasure,BTRS,47812628,106.25
291,KardiaChain,KAI,45523874,0.02221
292,LGCY Network,LGCY,43297609,0.003916
293,CryptalDash,CRD,43312093,0.04331
294,cVault.finance,CORE,43092493,4309.25
295,BitMax Token,BTMX,42822118,0.06482
296,Centrality,CENNZ,42017843,0.03501
297,Etherisc DIP Token,DIP,41996724,0.2434
298,Darwinia Network,RING,40663514,0.09075
299,Aidos Kuneen,ADK,40481875,1.62
300,Rocket Pool,RPL,40326967,3.92
301,COTI,COTI,40243756,0.07085
302,SUN,SUN,40307722,8.62
303,Haven Protocol,XHV,39976472,2.78
304,Axie Infinity,AXS,39802868,0.7371
305,Nimiq,NIM,39648148,0.005509
306,Celer Network,CELR,39430618,0.007434
307,STASIS EURO,EURS,39053384,1.22
308,Everipedia,IQ,39867674,0.004007
309,TROY,TROY,38893472,0.003889
310,Aion,AION,38788676,0.07957
311,Origin Protocol,OGN,38592175,0.1864
312,Phala.Network,PHA,38179885,0.2867
313,Mainframe,MFT,38763877,0.003876
314,ankrETH,aEth,38100763,1299.04
315,Trust Wallet Token,TWT,37761912,0.1505
316,MXC,MXC,38141833,0.01506
317,Telcoin,TEL,37941376,0.0007548
318,mStable USD,MUSD,36987663,1.01
319,SOLVE,SOLVE,36134463,0.09618
320,GateToken,GT,36781098,0.5025
321,TitanSwap,TITAN,36922169,0.6914
322,ShareToken,SHR,36321871,0.01605
323,stETH (Lido),STETH,36655532,1341.55
324,Ferrum Network,FRM,36765249,0.2498
325,Orbit Chain,ORC,35944026,0.07714
326,Request,REQ,36155058,0.03616
327,ReddCoin,RDD,36156403,0.001255
328,The Midas Touch Gold,TMTG,35764002,0.004600
329,Sapphire,SAPP,35646154,0.07423
330,TrueFi,TRU,35326197,0.2512
331,Bluzelle,BLZ,34900864,0.1353
332,Hxro,HXRO,34965537,0.1940
333,Orbs,ORBS,35553829,0.01594
334,NULS,NULS,34753909,0.3489
335,BTU Protocol,BTU,34811777,0.3867
336,NFTX,NFTX,34489579,82.12
337,Tokenlon Network Token,LON,33427454,4.25
338,Cocos-BCX,COCOS,32890153,0.7828
339,DigixDAO,DGD,32860381,266.51
340,v.systems,VSYS,33056849,0.01509
341,BitcoinPoS,BPS,32996783,8.22
342,Bytecoin,BCN,32791504,0.0001781
343,HyperCash,HC,32940495,0.7319
344,0Chain,ZCN,32692001,0.6754
345,HARD Protocol,HARD,32622063,0.6838
346,Gifto,GTO,29598064,0.03843
347,Whiteheart,WHITE,32024498,3603.12
348,Bankera,BNK,31962203,0.001298
349,BarnBridge,BOND,31547202,33.20
350,1irstcoin,FST,31147719,0.8907
351,Celo Dollar,CUSD,30684111,1.00
352,WINk,WIN,30370875,0.00009684
353,Stakenet,XSN,30178337,0.2683
354,SALT,SALT,30214517,0.3841
355,VestChain,VEST,29945503,0.007589
356,Robonomics.network,XRT,29909755,35.18
357,Cream Finance,CREAM,30030815,200.30
358,Ignis,IGNIS,29887762,0.03927
359,Beam,BEAM,29470214,0.3686
360,Super Zero Protocol,SERO,29500543,0.09670
361,Breezecoin,BRZE,29477011,0.2948
362,STEM CELL COIN,SCC,29012342,0.09048
363,Safex Token,SFT,28988409,0.01537
364,USDK,USDK,28656356,1.00
365,Veritaseum,VERI,28704189,13.35
366,Badger DAO,BADGER,28980576,12.50
367,Ultiledger,ULT,28658260,0.01212
368,Flamingo,FLM,28302354,0.1887
369,Thunder Token,TT,28402894,0.004824
370,Marlin,POND,28291553,0.06605
371,Switcheo,SWTH,28216109,0.02394
372,MVL,MVL,28539593,0.002663
373,Groestlcoin,GRS,27870896,0.3629
374,VIDT Datalink,VIDT,27479447,0.5559
375,Oxen,LOKI,27517504,0.5182
376,Aeternity,AE,27489781,0.08334
377,DuckDaoDime,DDIM,27454496,42.98
378,inSure,SURE,15047104,0.004201
379,COVER Protocol,COVER,27178558,486.72
380,YF Link,YFL,27233613,528.78
381,Cortex,CTXC,26947626,0.1078
382,Waltonchain,WTC,27098599,0.3757
383,Metal,MTL,26929908,0.4106
384,Lambda,LAMB,26914767,0.02069
385,Hermez Network,HEZ,26877600,5.72
386,BORA,BORA,27217267,0.03190
387,Dent,DENT,26724909,0.0003019
388,USDX [Kava],USDX,26519992,0.8156
389,Ripio Credit Network,RCN,26052810,0.05124
390,Pirate Chain,ARRR,25949863,0.1499
391,CertiK,CTK,26176961,1.02
392,Nexus,NXS,25758727,0.3704
393,PIVX,PIVX,25878293,0.3972
394,GXChain,GXC,25816560,0.3688
395,ASTA,ASTA,25687094,0.03317
396,Wirex Token,WXT,25768031,0.007578
397,Linear,LINA,25337913,0.02596
398,MX Token,MX,25456820,0.1855
399,DMM: Governance,DMG,24997115,0.3335
400,OctoFi,OCTO,25015111,43.64
401,ARPA Chain,ARPA,24922563,0.02657
402,Ergo,ERG,24820263,0.9012
403,MANTRA DAO,OM,24765202,0.1025
404,Audius,AUDIO,24798519,0.2067
405,Metronome,MET,24373622,2.14
406,SUKU,SUKU,24152028,0.1680
407,reflect.finance,RFI,24539684,2.58
408,Vai,VAI,24086742,1.00
409,BOSAGORA,BOA,24106975,0.08020
410,Nash Exchange,NEX,24020606,0.8236
411,Counos Coin,CCA,23706336,1.60
412,Bella Protocol,BEL,23422532,1.62
413,Metaverse Dualchain Network Architecture,DNA,23173386,0.001150
414,Ducato Protocol Token,DUCATO,22887515,18.02
415,Zap,ZAP,22947949,0.09718
416,Quantstamp,QSP,22898578,0.03208
417,Neutrino Token,NSBT,22485123,12.24
418,Grin,GRIN,22556452,0.3543
419,IDEX,IDEX,22248389,0.03944
420,Obyte,GBYTE,22256738,29.53
421,BASIC,BASIC,22115288,0.006209
422,StormX,STMX,21839222,0.002771
423,Nexalt,XLT,20933472,1.05
424,WazirX,WRX,21160680,0.09310
425,Quantum Resistant Ledger,QRL,22126210,0.3026
426,PEAKDEFI,PEAK,21067788,0.2749
427,SparkPoint,SRK,21082813,0.002884
428,AirSwap,AST,21101140,0.1407
429,Unifi Protocol DAO,UNFI,20807268,7.69
430,Dusk Network,DUSK,20731058,0.07051
431,Dynamic Trading Rights,DTR,20643438,0.01086
432,Huobi Pool Token,HPT,20547417,0.003938
433,REVV,REVV,20255193,0.07465
434,Leverj Gluon,L2,20459749,0.08656
435,Standard Tokenization Protocol,STPT,20304039,0.02216
436,DODO,DODO,19918679,0.7826
437,Beefy.Finance,BIFI,19281861,267.80
438,Einsteinium,EMC2,19688351,0.08901
439,Klever,KLV,20753130,0.004806
440,Props Token,PROPS,19600954,0.09012
441,Refereum,RFR,18692589,0.003739
442,Crypterium,CRPT,19768931,0.2341
443,Gas,GAS,19383896,1.91
444,Galatasaray Fan Token,GAL,19097810,5.44
445,Frontier,FRONT,18881129,0.7705
446,Steem Dollars,SBD,18812577,3.13
447,Cindicator,CND,18599076,0.009300
448,Decentralized Vulnerability Platform,DVP,18622671,0.06157
449,S4FE,S4F,18477186,0.02064
450,FC Barcelona Fan Token,BAR,18355697,11.38
451,DAD,DAD,19114390,0.1420
452,12Ships,TSHP,18349994,0.003699
453,88mph,MPH,18134548,160.09
454,Nebulas,NAS,17949380,0.3099
455,RSK Smart Bitcoin,RBTC,17977329,32435.57
456,Zenon,ZNN,18420623,3.65
457,Dragonchain,DRGN,17836953,0.04819
458,Frax Share,FXS,17658698,7.79
459,Rally,RLY,17585787,0.2888
460,Universa,UTNP,17340463,0.005487
461,Oraichain Token,ORAI,17493402,38.83
462,BoringDAO,BOR,17296106,394.77
463,dForce,DF,17432451,0.1519
464,Function X,FX,17317280,0.07542
465,Invictus Hyperion Fund,IHF,17166669,0.1443
466,WOM Protocol,WOM,16807421,0.1674
467,Contentos,COS,17007374,0.008193
468,PowerPool,CVP,16821181,2.87
469,Perlin,PERL,16644199,0.03445
470,NKN,NKN,16431557,0.02815
471,NerveNetwork,NVT,16393705,0.05919
472,FIO Protocol,FIO,16490961,0.07703
473,Xensor,XSR,16544193,0.003565
474,Gemini Dollar,GUSD,16274828,1.00
475,Neblio,NEBL,16252704,0.9582
476,DREP,DREP,16135813,0.004047
477,Aurora,AOA,15974792,0.001637
478,Gleec,GLEEC,16031524,0.7727
479,yOUcash,YOUC,15969613,0.01041
480,Dock,DOCK,15818526,0.02520
481,Zynecoin,ZYN,15594964,0.7044
482,Navcoin,NAV,15602340,0.2204
483,KeeperDAO,ROOK,15423129,423.36
484,Monolith,TKN,15494698,0.4583
485,Bonfida,FIDA,15564073,0.5986
486,VerusCoin,VRSC,14713502,0.2437
487,BigONE Token,ONE,15254893,0.001614
488,Spartan Protocol,SPARTA,15356478,0.2464
489,Prometeus,PROM,15319837,2.50
490,PRIZM,PZM,15272812,0.005941
491,USDJ,USDJ,14715797,0.9998
492,Global Digital Content,GDC,14722877,0.004588
493,BitForex Token,BF,15007011,0.003520
494,ERC20,ERC20,14615869,0.01297
495,DigitalBits,XDB,15014488,0.01999
496,Seigniorage Shares,SHARE,14571360,0.7162
497,Newscrypto,NWC,14180576,0.1489
498,Render Token,RNDR,14160025,0.1010
499,Wing,WING,14151028,15.82
500,AGA Token,AGA,14001279,2.02
501,Stafi,FIS,13978473,1.25
502,YFDAI.FINANCE,YF-DAI,13781971,3457.59
503,Measurable Data Token,MDT,13894178,0.02102
504,Spendcoin,SPND,13899645,0.006110
505,Aleph.im,ALEPH,13749923,0.1760
506,Atomic Wallet Coin,AWC,14059291,1.33
507,Meme,MEME,13599075,485.68
508,DEXTools,DEXT,13660256,0.1451
509,Presearch,PRE,13576175,0.03568
510,NEXT,NET,13514323,0.3338
511,Chromia,CHR,13414276,0.03122
512,Carry,CRE,13467478,0.002069
513,Archer DAO Governance Token,ARCH,13361634,2.20
514,Endor Protocol,EDR,13003368,0.008923
515,TrueChain,TRUE,13396460,0.1683
516,BHPCoin,BHP,13326208,0.6604
517,Molecular Future,MOF,13258809,0.1551
518,Rari Governance Token,RGT,13228302,1.85
519,King DAG,KDAG,13177364,0.2429
520,PLATINCOIN,PLC,13185799,2.64
521,Beowulf,BWF,13148508,0.01315
522,BitKan,KAN,13121028,0.001902
523,Apollo Currency,APL,13095234,0.0008917
524,Sentinel Protocol,UPP,12830215,0.02906
525,DeXe,DEXE,12912363,4.76
526,Aergo,AERGO,12949595,0.04905
527,Bounce Token,BOT,12822583,434.66
528,IQeon,IQN,12855821,2.34
529,Morpheus Labs,MITX,12746181,0.03028
530,BitcoinHD,BHD,12504026,2.06
531,SIRIN LABS Token,SRN,12345040,0.02510
532,Anchor Neural World,ANW,12728537,0.1191
533,MediBloc,MED,12721300,0.004646
534,QASH,QASH,12682069,0.03623
535,Shopping,SPI,12614844,13.65
536,Project Pai,PAI,12421849,0.008282
537,OST,OST,12142264,0.01590
538,Cartesi,CTSI,12430956,0.05958
539,Moeda Loyalty Points,MDA,12305708,0.6269
540,Phoenix Global,PHB,12337982,0.003578
541,CONTRACOIN,CTCN,12342691,0.4606
542,Factom,FCT,12166995,1.27
543,STATERA,STA,12099625,0.1454
544,Dynamic,DYN,12058997,0.7901
545,Namecoin,NMC,11913743,0.8085
546,Paris Saint-Germain Fan Token,PSG,11860436,9.21
547,Juventus Fan Token,JUV,11810624,8.98
548,PowerTrade Fuel,PTF,11989959,0.6767
549,DMarket,DMT,11943013,0.2098
550,MahaDAO,MAHA,11587739,14.79
551,Growth DeFi,GRO,11597499,75.49
552,Arcblock,ABT,11540461,0.1171
553,MiL.k,MLK,11537102,0.1476
554,SpaceChain,SPC,11486472,0.03190
555,VITE,VITE,11447553,0.02413
556,PlatonCoin,PLTC,11451110,0.4550
557,Sentivate,SNTVT,11512330,0.003345
558,Nxt,NXT,11330639,0.01134
559,ZBG Token,ZT,11337358,0.04294
560,Davinci Coin,DAC,11324908,0.002451
561,Telos,TLOS,11303578,0.04185
562,Emirex Token,EMRX,11282312,0.4170
563,Constellation,DAG,11252771,0.008882
564,Vertcoin,VTC,11135658,0.1906
565,RChain,REV,11308547,0.02343
566,Genesis Vision,GVT,11356224,2.57
567,Raiden Network Token,RDN,11153396,0.2191
568,dKargo,DKA,11261799,0.02330
569,Aavegotchi,GHST,10895024,0.5992
570,Proton,XPR,11052139,0.004608
571,MovieBloc,MBL,11127156,0.001611
572,Pickle Finance,PICKLE,10751942,11.28
573,GoCrypto Token,GOC,10695168,0.05260
574,DOS Network,DOS,10633465,0.07822
575,Mithril,MITH,10676721,0.01068
576,MAP Protocol,MAP,10584762,0.03324
577,Tachyon Protocol,IPX,10593908,0.03970
578,AnimalGo,GOM2,10446416,0.01080
579,Metadium,META,10482497,0.008417
580,Hashgard,GARD,10491303,0.0001058
581,LATOKEN,LA,10492983,0.02761
582,Gem Exchange And Trading,GXT,10381821,0.2425
583,Peercoin,PPC,10188032,0.3813
584,Blocknet,BLOCK,10351777,1.38
585,Kadena,KDA,10329834,0.1714
586,CONUN,CON,10262488,0.003542
587,PieDAO DOUGH v2,DOUGH,10257739,1.05
588,Anchor,ANCT,10234626,0.7979
589,Atari Token,ATRI,10256156,0.1478
590,Metaverse ETP,ETP,10121423,0.1270
591,TriumphX,TRIX,10073630,0.8162
592,OAX,OAX,9763886,0.1290
593,Bit-Z Token,BZ,9967736,0.07971
594,Sentinel,SENT,9978418,0.004989
595,Maro,MARO,9986475,0.02143
596,Skycoin,SKY,9915284,0.5219
597,HUNT,HUNT,9973499,0.09037
598,LCX,LCX,9945455,0.01752
599,PAC Global,PAC,10807735,0.0008333
600,Gala,GALA,9876514,0.001416
601,Moss Coin,MOC,9797585,0.02668
602,pNetwork,PNT,9703484,0.4523
603,AIDUS TOKEN,AIDUS,9726809,0.02221
604,smARTOFGIVING,AOG,9632002,0.1305
605,CyberMiles,CMT,9539556,0.01192
606,Crust,CRU,9599849,8.92
607,VideoCoin,VID,9530625,0.06505
608,LockTrip,LOC,9471394,0.6334
609,AppCoins,APPC,9594400,0.03907
610,LikeCoin,LIKE,9494612,0.01137
611,GoChain,GO,9419386,0.008852
612,Egoras Dollar,EUSD,9384171,1.23
613,Ambrosus,AMB,9371759,0.02300
614,Hakka.Finance,HAKKA,9251005,0.06170
615,Selfkey,KEY,9224336,0.002539
616,VIDY,VIDY,9191992,0.001014
617,LUKSO,LYXe,9153417,2.41
618,Fusion,FSN,9168348,0.1882
619,FirmaChain,FCT,9133724,0.04957
620,BIKI,BIKI,9067042,0.02879
621,Crypto Village Accelerator,CVA,8900514,0.1200
622,Swerve,SWRV,9080345,0.8880
623,Wabi,WABI,8860524,0.09610
624,SaTT,SATT,8852619,0.002848
625,SnowSwap,SNOW,9098355,46.10
626,Ruff,RUFF,8808185,0.008983
627,CoinEx Token,CET,8797796,0.01242
628,Burger Swap,BURGER,8738619,0.7404
629,Kcash,KCASH,8746856,0.01963
630,ForTube,FOR,8746018,0.01997
631,Everus,EVR,8729481,0.01874
632,ILCOIN,ILC,8695852,0.01380
633,Time New Bank,TNB,8502919,0.002339
634,DEX,DEX,8717591,0.04551
635,eBitcoin,EBTC,8680540,0.4594
636,Veros,VRS,8651821,7.05
637,Observer,OBSR,8535109,0.003716
638,FIBOS,FO,8501767,0.007956
639,Stake DAO,SDT,8438832,11.91
640,FOAM,FOAM,8395418,0.02724
641,Ubiq,UBQ,8387276,0.1968
642,SpankChain,SPANK,8324951,0.02775
643,AMO Coin,AMO,8334488,0.0004521
644,YIELD App,YLD,8225155,0.2516
645,WePower,WPR,8357182,0.01221
646,LinkEye,LET,8162610,0.009834
647,Wowbit,WWB,8168107,0.02941
648,FNB Protocol,FNB,8065567,0.003392
649,DSLA Protocol,DSLA,8085626,0.001297
